iter	Logloss
0	0.6685555985
1	0.649561461
2	0.6330919547
3	0.6136103521
4	0.5974515207
5	0.5837175234
6	0.5722212499
7	0.5578698924
8	0.5455352415
9	0.5335365221
10	0.5234959586
11	0.5159123483
12	0.5085964878
13	0.5005057481
14	0.4920482792
15	0.487525523
16	0.4832593706
17	0.4768949072
18	0.4698778171
19	0.4642115724
20	0.4586935576
21	0.4536283617
22	0.4503878284
23	0.4453925483
24	0.4416244178
25	0.438147767
26	0.4356029781
27	0.4325041423
28	0.4291929054
29	0.4262428464
30	0.4234885633
31	0.4205866384
32	0.4173650175
33	0.413679102
34	0.4113544831
35	0.409672879
36	0.4080377108
37	0.4061111948
38	0.4039517988
39	0.4020146527
40	0.3995334848
41	0.3979756422
42	0.396386388
43	0.3950593435
44	0.3935607825
45	0.3913327429
46	0.3893226888
47	0.3876374684
48	0.3864241274
49	0.3844736043
50	0.3821819111
51	0.3810332811
52	0.3795928642
53	0.3781617223
54	0.3762978628
55	0.3754500871
56	0.3743345753
57	0.3726920252
58	0.3710313155
59	0.3698520267
60	0.3688315693
61	0.3678505893
62	0.3664765228
63	0.3652997821
64	0.364598889
65	0.3639965278
66	0.3632065292
67	0.3621965874
68	0.3612554073
69	0.3597489729
70	0.3590984859
71	0.3578315296
72	0.3563092377
73	0.3549303189
74	0.353805859
75	0.3528439978
76	0.3517315027
77	0.3507299444
78	0.3493975864
79	0.3480325481
80	0.3471124109
81	0.3465802475
82	0.345552721
83	0.3447040089
84	0.3440472546
85	0.3427824782
86	0.3412977909
87	0.340453825
88	0.339973296
89	0.3394748288
90	0.3387134903
91	0.337939071
92	0.3373229042
93	0.3366816677
94	0.3361649676
95	0.3354735094
96	0.3346444932
97	0.3337065787
98	0.3331977024
99	0.3317020741
100	0.3305833177
101	0.329712455
102	0.3291963559
103	0.32853962
104	0.3276817452
105	0.3270182298
106	0.3264944315
107	0.3259160929
108	0.325454326
109	0.3250182074
110	0.3242965515
111	0.3234355181
112	0.3229749177
113	0.3224761686
114	0.321692002
115	0.3208007248
116	0.3193251209
117	0.3186178952
118	0.3179327182
119	0.3174590217
120	0.3167309191
121	0.3161604019
122	0.3156101513
123	0.3151322973
124	0.3142562416
125	0.3135756764
126	0.3129469233
127	0.3122576706
128	0.3113437065
129	0.3105040437
130	0.3098683394
131	0.3094302812
132	0.3090829969
133	0.3088265132
134	0.3083388022
135	0.3080024459
136	0.3071462637
137	0.3065892845
138	0.3056712802
139	0.3051348747
140	0.3045419663
141	0.3042271171
142	0.3037498779
143	0.3031898221
144	0.3029518449
145	0.3022457921
146	0.3018994666
147	0.3013520738
148	0.3005897591
149	0.300162333
150	0.2990498608
151	0.2985909704
152	0.2980829411
153	0.2976370691
154	0.2967359753
155	0.2961757843
156	0.2957964866
157	0.295445608
158	0.2948913128
159	0.2939311424
160	0.293118105
161	0.2924104228
162	0.2916623271
163	0.2910144253
164	0.2904282318
165	0.2898125761
166	0.2892177915
167	0.2885654742
168	0.2877302604
169	0.2872574604
170	0.2868538784
171	0.2862192104
172	0.2858307753
173	0.2851660327
174	0.2847233479
175	0.2842279982
176	0.2838747963
177	0.2833858856
178	0.2827159219
179	0.281700792
180	0.2810980245
181	0.2808206456
182	0.2803565672
183	0.2799511376
184	0.2794936445
185	0.2788737868
186	0.2777977177
187	0.2773787674
188	0.2766668892
189	0.2761706709
190	0.2755972826
191	0.2752099051
192	0.2748418702
193	0.2741277001
194	0.273762699
195	0.2735003379
196	0.2728383079
197	0.2724055944
198	0.2718240243
199	0.2711482989
