iter	Passed	Remaining
0	11	5615
1	18	4594
2	22	3786
3	26	3281
4	30	2999
5	34	2847
6	47	3351
7	54	3341
8	57	3164
9	67	3284
10	71	3157
11	74	3043
12	78	2930
13	81	2818
14	83	2715
15	87	2659
16	90	2580
17	94	2525
18	98	2490
19	102	2448
20	105	2410
21	109	2380
22	113	2359
23	117	2322
24	121	2303
25	125	2279
26	129	2273
27	137	2312
28	143	2329
29	146	2291
30	152	2306
31	157	2301
32	160	2275
33	163	2245
34	168	2244
35	171	2206
36	178	2239
37	187	2274
38	190	2251
39	197	2267
40	203	2279
41	216	2359
42	223	2372
43	234	2431
44	243	2465
45	246	2434
46	252	2430
47	255	2405
48	260	2393
49	262	2360
50	264	2328
51	269	2322
52	279	2357
53	290	2401
54	298	2412
55	307	2435
56	317	2468
57	330	2522
58	338	2532
59	342	2509
60	349	2513
61	353	2498
62	358	2485
63	360	2458
64	363	2432
65	367	2416
66	373	2411
67	378	2402
68	384	2399
69	387	2381
70	391	2367
71	396	2359
72	399	2335
73	402	2317
74	405	2297
75	407	2275
76	410	2257
77	415	2246
78	417	2226
79	420	2207
80	422	2185
81	424	2164
82	426	2144
83	429	2125
84	431	2106
85	433	2088
86	436	2071
87	438	2055
88	441	2041
89	444	2022
90	447	2009
91	450	1996
92	452	1981
93	455	1967
94	458	1955
95	461	1940
96	463	1924
97	465	1911
98	469	1900
99	471	1885
100	473	1871
101	475	1855
102	478	1844
103	480	1831
104	483	1817
105	486	1809
106	489	1797
107	491	1785
108	494	1773
109	496	1761
110	499	1751
111	502	1740
112	504	1729
113	507	1719
114	510	1709
115	512	1697
116	515	1686
117	517	1676
118	520	1666
119	523	1656
120	526	1650
121	528	1638
122	531	1628
123	534	1619
124	536	1609
125	538	1598
126	540	1587
127	543	1579
128	547	1574
129	551	1568
130	553	1559
131	555	1548
132	557	1539
133	560	1530
134	562	1521
135	565	1513
136	568	1505
137	569	1495
138	573	1489
139	577	1483
140	583	1486
141	587	1481
142	591	1475
143	593	1468
144	596	1461
145	599	1452
146	602	1446
147	604	1438
148	606	1428
149	608	1419
150	610	1410
151	612	1403
152	616	1397
153	619	1391
154	622	1386
155	625	1380
156	628	1372
157	630	1365
158	632	1357
159	635	1351
160	637	1343
161	640	1335
162	642	1328
163	644	1320
164	647	1314
165	649	1307
166	652	1300
167	654	1294
168	657	1287
169	659	1280
170	661	1273
171	664	1268
172	667	1262
173	671	1258
174	675	1254
175	679	1251
176	682	1245
177	685	1239
178	688	1234
179	690	1228
180	693	1222
181	696	1217
182	699	1211
183	702	1205
184	705	1200
185	708	1195
186	710	1189
187	712	1182
188	715	1177
189	717	1170
190	720	1165
191	722	1159
192	724	1153
193	727	1146
194	729	1141
195	732	1135
196	734	1129
197	737	1124
198	740	1120
199	745	1117
200	747	1111
201	750	1107
202	753	1101
203	755	1096
204	758	1090
205	759	1084
206	762	1078
207	765	1074
208	768	1069
209	770	1064
210	773	1059
211	776	1054
212	780	1051
213	783	1046
214	784	1040
215	787	1034
216	789	1029
217	790	1023
218	792	1016
219	794	1011
220	796	1005
221	798	1000
222	800	994
223	802	989
224	804	983
225	806	978
226	808	972
227	810	967
228	813	962
229	815	957
230	817	951
231	819	946
232	821	941
233	822	935
234	824	930
235	826	924
236	829	920
237	831	915
238	834	911
239	837	906
240	840	902
241	842	897
242	844	892
243	846	888
244	849	884
245	851	879
246	854	875
247	857	871
248	860	867
249	864	864
250	866	859
251	868	855
252	870	850
253	873	845
254	875	841
255	878	837
256	880	832
257	882	827
258	883	822
259	885	817
260	887	813
261	890	808
262	893	805
263	896	800
264	898	796
265	902	793
266	904	789
267	906	784
268	908	779
269	909	775
270	911	770
271	914	766
272	917	762
273	919	758
274	922	754
275	925	750
276	927	746
277	929	742
278	931	737
279	933	733
280	936	729
281	938	725
282	940	721
283	942	717
284	944	712
285	947	708
286	949	704
287	951	700
288	953	696
289	956	692
290	958	688
291	961	684
292	963	680
293	966	677
294	968	672
295	970	669
296	972	664
297	975	661
298	978	657
299	980	653
300	982	649
301	984	645
302	986	641
303	989	637
304	991	633
305	993	629
306	995	625
307	997	621
308	1000	618
309	1003	614
310	1005	610
311	1006	606
312	1008	602
313	1010	598
314	1013	595
315	1015	591
316	1017	587
317	1018	583
318	1020	579
319	1022	575
320	1024	571
321	1026	567
322	1028	563
323	1030	559
324	1032	556
325	1034	552
326	1036	548
327	1039	545
328	1041	541
329	1043	537
330	1045	533
331	1048	530
332	1051	527
333	1054	524
334	1057	520
335	1059	517
336	1062	513
337	1064	510
338	1067	506
339	1070	503
340	1073	500
341	1075	497
342	1079	493
343	1081	490
344	1084	487
345	1086	483
346	1090	480
347	1093	477
348	1096	474
349	1098	470
350	1100	467
351	1103	463
352	1105	460
353	1108	457
354	1111	453
355	1114	450
356	1116	447
357	1119	444
358	1121	440
359	1124	437
360	1127	434
361	1129	430
362	1134	428
363	1137	424
364	1139	421
365	1142	418
366	1145	415
367	1148	411
368	1150	408
369	1152	404
370	1154	401
371	1157	398
372	1159	394
373	1161	391
374	1163	387
375	1165	384
376	1168	381
377	1170	377
378	1172	374
379	1175	371
380	1177	367
381	1180	364
382	1182	361
383	1184	357
384	1186	354
385	1188	351
386	1191	347
387	1194	344
388	1196	341
389	1198	337
390	1200	334
391	1203	331
392	1205	328
393	1207	324
394	1209	321
395	1211	318
396	1213	314
397	1215	311
398	1218	308
399	1220	305
400	1222	301
401	1226	298
402	1228	295
403	1230	292
404	1232	289
405	1234	285
406	1237	282
407	1239	279
408	1241	276
409	1243	272
410	1245	269
411	1248	266
412	1250	263
413	1253	260
414	1255	257
415	1257	253
416	1260	250
417	1261	247
418	1263	244
419	1265	241
420	1267	237
421	1269	234
422	1271	231
423	1274	228
424	1276	225
425	1278	222
426	1281	219
427	1284	216
428	1286	212
429	1289	209
430	1291	206
431	1293	203
432	1296	200
433	1298	197
434	1300	194
435	1302	191
436	1305	188
437	1308	185
438	1310	182
439	1312	178
440	1315	175
441	1317	172
442	1319	169
443	1322	166
444	1324	163
445	1327	160
446	1330	157
447	1333	154
448	1335	151
449	1337	148
450	1340	145
451	1341	142
452	1343	139
453	1344	136
454	1345	133
455	1347	130
456	1349	126
457	1351	123
458	1353	120
459	1354	117
460	1357	114
461	1358	111
462	1360	108
463	1362	105
464	1364	102
465	1366	99
466	1368	96
467	1370	93
468	1372	90
469	1374	87
470	1376	84
471	1379	81
472	1381	78
473	1383	75
474	1385	72
475	1387	69
476	1389	66
477	1391	64
478	1393	61
479	1395	58
480	1397	55
481	1398	52
482	1400	49
483	1402	46
484	1404	43
485	1406	40
486	1408	37
487	1409	34
488	1411	31
489	1413	28
490	1414	25
491	1416	23
492	1418	20
493	1420	17
494	1422	14
495	1424	11
496	1426	8
497	1427	5
498	1429	2
499	1431	0
	64
483	1840	60
484	1843	57
485	1846	53
486	1849	49
487	1852	45
488	1856	41
489	1861	37
490	1864	34
491	1869	30
492	1873	26
493	1876	22
494	1878	18
495	1881	15
496	1884	11
497	1888	7
498	1890	3
499	1893	0
80	141
